Object,a (AU),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),H (mag),MOID (AU),ref,class,Object
(2002 AY1),0.77898045,0.437389052,29.8907943,323.8317009,287.867106,0.4383,1.12,0.69,20.8,0.007252,45,ATE*,(2002 AY1)
(2002 AZ1),2.1199132,0.665887027,8.1336335,97.0322572,113.7360248,0.7083,3.53,3.09,22,0.01697,5,APO*,(2002 AZ1)
(2002 AS4),1.26882793,0.80181546,27.0695306,42.5622161,285.5567481,0.2515,2.29,1.43,21.65,0.038353,6,APO*,(2002 AS4)
(2002 AT4),1.86694159,0.446447172,1.5001185,203.0575998,323.4933542,1.0335,2.7,2.55,21.2,0.042203,9,AMO*,(2002 AT4)
(2002 AC9),1.70346399,0.561137617,2.2836778,28.4393922,2.5756743,0.7476,2.66,2.22,21,0.028889,8,APO*,(2002 AC9)
(2002 BM26),1.83257676,0.444337658,16.213183,180.4730567,319.6475212,1.0183,2.65,2.48,20.1,0.031817,20,AMO*,(2002 BM26)
(2002 CY9),1.64865311,0.508094236,41.9665195,117.3665553,305.3519892,0.811,2.49,2.12,19.5,0.006259,8,APO*,(2002 CY9)
(2002 CD14),1.77813866,0.579124554,2.8865778,141.1918824,127.6923613,0.7484,2.81,2.37,20.6,0.028116,9,APO*,(2002 CD14)
(2002 DO3),1.85984928,0.499243354,3.8008347,165.5417836,56.1266309,0.9313,2.79,2.54,22,0.029266,6,APO*,(2002 DO3)
(2002 EY2),1.725031,0.486731646,21.7444549,50.990646,343.4793932,0.8854,2.56,2.27,19.3,0.000498,29,APO*,(2002 EY2)
(2002 EU11),2.38577452,0.686962432,2.9373209,274.4596927,346.3234077,0.7468,4.02,3.69,21.9,0.014628,14,APO*,(2002 EU11)
(2002 EV11),2.09634597,0.891089501,11.7864411,217.338831,184.3183793,0.2283,3.96,3.04,20,0.046348,19,APO*,(2002 EV11)
(2002 FC),2.83747089,0.658838364,6.7849239,194.956369,50.353987,0.968,4.71,4.78,18.9,0.018398,53,APO*,(2002 FC)
(2002 FQ5),1.91510524,0.588251071,7.5595286,80.7087362,196.2319682,0.7885,3.04,2.65,20.5,0.033998,22,APO*,(2002 FQ5)
(2002 GM5),2.14172331,0.69847124,7.3383141,274.0356984,13.997807,0.6458,3.64,3.13,21.5,0.008196,9,APO*,(2002 GM5)
(2002 GJ8),3.23545205,0.681451129,30.1181029,174.3818875,144.9010647,1.0306,5.44,5.82,19.4,0.021173,32,AMO*,(2002 GJ8)
(2002 GZ8),2.82728245,0.638875214,5.3050756,161.4662758,309.8247571,1.021,4.63,4.75,18.2,0.04438,33,AMO*,(2002 GZ8)
(2002 HP11),2.06910491,0.764864189,5.1358097,90.3384289,9.3134093,0.4865,3.65,2.98,20.4,0.01626,15,APO*,(2002 HP11)
(2002 JX8),0.77002919,0.305253713,4.3148785,338.1399079,68.6054846,0.535,1.01,0.68,20.3,0.02016,16,ATE*,(2002 JX8)
(2002 JZ8),2.74141076,0.64692282,9.7975601,338.7396362,200.6544474,0.9679,4.51,4.54,21.1,0.005906,21,APO*,(2002 JZ8)
(2002 JE9),1.06784795,0.41666649,8.8300312,255.4191521,200.0642437,0.6229,1.51,1.1,21.2,0.005356,28,APO*,(2002 JE9)
(2002 JQ9),1.15661305,0.39440023,24.9999834,76.0661578,51.9308733,0.7004,1.61,1.24,19.2,0.048751,28,APO*,(2002 JQ9)
(2002 KG4),2.93197384,0.663445145,27.6399214,149.7534386,64.493303,0.9868,4.88,5.02,20.9,0.028104,15,APO*,(2002 KG4)
(2002 KJ4),2.26554864,0.559571,27.8636523,155.1630717,75.6497084,0.9978,3.53,3.41,19.4,0.016753,22,APO*,(2002 KJ4)
(2002 KK8),1.95381667,0.465957895,24.5287218,174.1268594,76.9847359,1.0434,2.86,2.73,21,0.030459,25,AMO*,(2002 KK8)
(2002 LX),2.5110253,0.669719065,3.2387485,345.3276724,197.6109228,0.8293,4.19,3.98,21.1,0.037894,16,APO*,(2002 LX)
(2002 LX64),1.40467134,0.596398254,5.2027514,230.6409309,285.549693,0.5669,2.24,1.66,21.36,0.044269,2,APO*,(2002 LX64)
(2002 MX),2.51154194,0.796778803,1.9634127,237.5869083,284.2983432,0.5104,4.51,3.98,21.7,0.014937,11,APO*,(2002 MX)
(2002 MR3),1.50120325,0.618495025,9.7480158,66.9570969,110.5425614,0.5727,2.43,1.84,21.4,0.043063,16,APO*,(2002 MR3)
(2002 MT3),2.80237087,0.690906903,6.5172411,25.2299204,168.4713931,0.8662,4.74,4.69,19.9,0.03722,16,APO*,(2002 MT3)
(2002 NY40),2.04885763,0.709215334,5.8924202,268.954345,146.0701562,0.5958,3.5,2.93,19,0.000842,63,APO*,(2002 NY40)
(2002 NE71),1.91557834,0.584452691,7.1815875,144.0841074,264.599962,0.796,3.04,2.65,19.2,0.049702,36,APO*,(2002 NE71)
(2002 PR1),2.4986644,0.587505769,6.5951222,208.0921183,148.4379094,1.0307,3.97,3.95,21.9,0.045061,22,AMO*,(2002 PR1)
(2002 PF43),1.64377995,0.36609243,13.8595643,191.615788,142.7769603,1.042,2.25,2.11,20.6,0.035426,18,AMO*,(2002 PF43)
(2002 PE130),2.55772995,0.622464226,15.597282,33.5799948,357.4444921,0.9656,4.15,4.09,18.2,0.022669,36,APO*,(2002 PE130)
(2002 QH10),2.36121404,0.56101453,4.7921354,23.7338033,0.4201724,1.0365,3.69,3.63,20.3,0.048177,37,AMO*,(2002 QH10)
(2002 QQ40),1.21486207,0.563993112,1.7198859,356.5668493,104.0207986,0.5297,1.9,1.34,21.4,0.028059,16,APO*,(2002 QQ40)
(2002 QW47),1.97150382,0.518119999,4.2201859,140.8643347,116.3071388,0.95,2.99,2.77,20.5,0.004021,18,APO*,(2002 QW47)
(2002 SQ41),2.60333784,0.800070658,25.1240723,95.7463612,21.926143,0.5205,4.69,4.2,20.1,0.009949,16,APO*,(2002 SQ41)
(2002 TB70),1.1332245,0.132047916,16.6569115,350.8412796,195.0654405,0.9836,1.28,1.21,21.6,0.015366,12,APO*,(2002 TB70)
(2002 UK11),1.32311693,0.575446197,5.368625,84.4121032,69.279638,0.5617,2.08,1.52,21.7,0.01184,17,APO*,(2002 UK11)
(2002 VE68),0.72358356,0.410357822,9.0074334,355.4398245,231.5621857,0.4267,1.02,0.62,20.5,0.026776,58,ATE*,(2002 VE68)
(2002 VP69),2.0181611,0.528325214,10.155194,188.7789522,306.9592906,0.9519,3.08,2.87,17.9,0.026784,38,APO*,(2002 VP69)
(2002 VR85),1.81662581,0.603920666,6.0193314,298.8696267,204.8155059,0.7195,2.91,2.45,20.4,0.026532,14,APO*,(2002 VR85)
(2002 XO14),2.79185906,0.644662502,2.6071583,184.8839838,295.3784824,0.9921,4.59,4.66,22.1,0.00888,19,APO,(2002 XO14)
(2002 XQ90),2.17171884,0.571578514,3.241539,116.1679511,282.1007444,0.9304,3.41,3.2,22.1,0.028697,12,APO,(2002 XQ90)
(2003 AY2),1.82251746,0.564135306,10.3213367,285.9281765,275.0364957,0.7944,2.85,2.46,19.2,0.021694,26,APO*,(2003 AY2)
(2003 AA3),1.42124409,0.289329324,13.7806343,346.9642629,106.4216318,1.01,1.83,1.69,20.2,0.032256,44,APO*,(2003 AA3)
(2003 AC23),2.17205589,0.58202587,2.0598765,126.4273778,43.8109668,0.9079,3.44,3.2,21.9,0.006822,13,APO*,(2003 AC23)
(2003 AF23),0.87465409,0.425909967,23.2238711,43.9665449,286.7838912,0.5021,1.25,0.82,20.9,0.032869,31,ATE*,(2003 AF23)
(2003 BB21),2.2311675,0.553836942,4.7730312,212.7703471,344.1747267,0.9955,3.47,3.33,20.9,0.027282,30,APO*,(2003 BB21)
(2003 BK47),2.74369317,0.707666958,20.7262768,235.0972717,139.0718362,0.8021,4.69,4.54,17.8,0.024625,34,APO*,(2003 BK47)
(2003 BR47),1.62814629,0.50020873,4.4205427,112.5115958,314.5568593,0.8137,2.44,2.08,21.4,0.007928,29,APO*,(2003 BR47)
(2003 CR1),1.4530712,0.462989392,12.7178237,101.8574871,311.036325,0.7803,2.13,1.75,20,0.027424,22,APO*,(2003 CR1)
(2003 CG11),2.59187183,0.734970703,21.2723592,107.095789,130.496753,0.6869,4.5,4.17,20.5,0.017841,21,APO*,(2003 CG11)
(2003 EG16),2.39232883,0.688887951,20.3753676,110.5297522,151.3939256,0.7443,4.04,3.7,19.3,0.001325,33,APO*,(2003 EG16)
(2003 ED50),1.41600652,0.54665561,33.7326646,93.9593202,173.54017,0.6419,2.19,1.69,20.8,0.025824,24,APO*,(2003 ED50)
(2003 FG),1.24162475,0.714909735,15.6629177,312.8684901,7.0285724,0.354,2.13,1.38,19.7,0.043235,38,APO*,(2003 FG)
(2003 GG21),2.14053917,0.711492103,10.1329538,95.6833438,12.571545,0.6176,3.66,3.13,22,0.003234,15,APO*,(2003 GG21)
(2003 GQ22),0.87211478,0.182039864,17.019933,168.7653644,199.51694,0.7134,1.03,0.81,21.2,0.024268,18,ATE*,(2003 GQ22)
(2003 GR22),1.55541986,0.61202518,6.2053707,276.4657079,23.7236316,0.6035,2.51,1.94,21.93,0.006668,7,APO*,(2003 GR22)
(2003 GP51),2.15555087,0.602903766,2.8579995,357.541653,141.8603435,0.856,3.46,3.16,22,0.037489,15,APO*,(2003 GP51)
(2003 HM),0.81351451,0.269829269,26.2763305,19.3013593,30.4727254,0.594,1.03,0.73,22.2,0.007,39,ATE,(2003 HM)
(2003 HN16),1.28820806,0.210765048,26.191994,339.0150335,215.4821827,1.0167,1.56,1.46,22.3,0.022266,24,APO,(2003 HN16)
(2003 MU),2.05304731,0.495073328,5.8973445,175.5934654,143.6681748,1.0366,3.07,2.94,20.4,0.025122,38,AMO*,(2003 MU)
(2003 MS2),1.04178197,0.126315968,20.0255879,254.6133121,100.877036,0.9102,1.17,1.06,21.2,0.02291,40,APO*,(2003 MS2)
(2003 MK4),1.08035493,0.181330248,22.3162141,109.6039464,282.6119286,0.8845,1.28,1.12,20.9,0.001814,35,APO*,(2003 MK4)
(2003 NW1),2.42624838,0.64128895,6.1137629,118.2583338,265.4616712,0.8703,3.98,3.78,18.7,0.028187,34,APO*,(2003 NW1)
(2003 OC3),2.25092253,0.595527187,13.1108463,23.0076121,172.3911127,0.9104,3.59,3.38,18.6,0.0431,11,APO*,(2003 OC3)
(2003 QH5),1.26017811,0.220444031,17.6128089,321.1566748,299.2620993,0.9824,1.54,1.41,20.1,0.007395,36,APO*,(2003 QH5)
(2003 RS1),2.77804868,0.641183346,2.6541366,164.0791013,172.3675503,0.9968,4.56,4.63,21.8,0.002756,41,APO*,(2003 RS1)
(2003 RB5),1.88009106,0.471457996,44.5692826,27.7520398,341.8732535,0.9937,2.77,2.58,21.2,0.023793,16,APO*,(2003 RB5)
(2003 SK84),2.53522603,0.742937719,8.9474804,118.2590056,344.1678708,0.6517,4.42,4.04,21.2,0.04481,17,APO*,(2003 SK84)
(2003 SS84),1.93091246,0.570561889,5.4954949,234.6450838,198.3420283,0.8292,3.03,2.68,21.8,0.004911,37,APO*,(2003 SS84)
(2003 TK2),2.3480612,0.647418911,4.2879368,320.9548732,1.0290371,0.8279,3.87,3.6,19.8,0.020676,24,APO*,(2003 TK2)
(2003 TO9),2.42668139,0.6041799,3.1125253,225.0929726,198.0236376,0.9605,3.89,3.78,21.8,0.018827,20,APO*,(2003 TO9)
(2003 TR9),1.64118579,0.701354581,13.4662893,70.9929067,198.4208427,0.4901,2.79,2.1,21.2,0.021142,15,APO*,(2003 TR9)
(2003 UV11),1.45283069,0.762900536,5.9281167,124.8036471,31.9286197,0.3445,2.56,1.75,19.5,0.007534,52,APO*,(2003 UV11)
(2003 UW29),1.16963921,0.838457541,3.7603265,55.1433303,196.5875144,0.1889,2.15,1.26,20.7,0.017928,18,APO*,(2003 UW29)
(2003 VE1),1.9423249,0.495399767,16.3365447,323.3060111,29.5554555,0.9801,2.9,2.71,19.4,0.043461,16,APO*,(2003 VE1)
(2003 WG),2.43787909,0.783946143,27.1486439,261.9163755,46.7386684,0.5267,4.35,3.81,19.1,0.030159,22,APO*,(2003 WG)
(2003 WP21),2.25531766,0.781925231,4.2632515,123.6073245,38.0412975,0.4918,4.02,3.39,21.45,0.031384,11,APO*,(2003 WP21)
(2003 WC158),2.63076979,0.632167049,9.0019817,144.1990691,251.3131713,0.9677,4.29,4.27,20.4,0.033578,31,APO*,(2003 WC158)
(2003 WH166),1.9366308,0.556452033,0.6923711,328.7556905,186.1666384,0.859,3.01,2.7,22,0.004582,33,APO*,(2003 WH166)
(2003 XM),3.19903982,0.678877287,5.6195693,156.094886,355.5142827,1.0273,5.37,5.72,19.1,0.048663,31,AMO*,(2003 XM)
(2003 YP1),2.64136414,0.649109652,7.4072408,130.1464989,277.7937991,0.9268,4.36,4.29,21.8,0.035651,17,APO*,(2003 YP1)
(2003 YX1),0.87962325,0.267060847,5.7570675,223.1408565,89.6670079,0.6447,1.11,0.82,20.9,0.011858,44,ATE*,(2003 YX1)
(2003 YS17),0.93078272,0.313242622,6.5213407,134.6646498,99.0011035,0.6392,1.22,0.9,21.6,0.030782,34,ATE*,(2003 YS17)
(2003 YD45),2.49440698,0.695081959,8.4088558,104.7104076,252.53302,0.7606,4.23,3.94,21,0.027652,17,APO*,(2003 YD45)
(2003 YL118),1.13010983,0.486236181,7.6125788,65.5867925,278.8300103,0.5806,1.68,1.2,21.6,0.02175,25,APO*,(2003 YL118)
(2003 YH136),2.32189421,0.893565685,16.0108962,304.2015597,306.68105,0.2471,4.4,3.54,19.4,0.008164,13,APO*,(2003 YH136)
(2004 BV1),1.46277935,0.367223548,12.1591272,223.240924,96.7875692,0.9256,2,1.77,19.3,0.012686,31,APO*,(2004 BV1)
(2004 BZ74),3.05648926,0.890083252,16.9954458,124.560102,230.4671372,0.336,5.78,5.34,18.1,0.049506,30,APO*,(2004 BZ74)
(2004 CO49),1.37503122,0.38836327,4.260208,315.8891213,115.163498,0.841,1.91,1.61,21.6,0.021202,19,APO*,(2004 CO49)
(2004 DM44),2.47660146,0.711070846,10.5394729,95.6150143,350.819906,0.7156,4.24,3.9,20.7,0.041341,21,APO*,(2004 DM44)
(2004 FW1),1.61104092,0.716976383,10.1675302,91.1668878,194.6672064,0.456,2.77,2.04,20.9,0.047878,15,APO*,(2004 FW1)
(2004 FU4),1.26002357,0.263731201,23.2539356,46.2716076,31.598396,0.9277,1.59,1.41,18.3,0.001754,72,APO*,(2004 FU4)
(2004 FJ11),2.2487762,0.561867456,2.3897821,232.4691381,20.9389102,0.9853,3.51,3.37,21,0.021228,30,APO*,(2004 FJ11)
(2004 FY31),2.16790115,0.5562587,11.2023871,197.396999,28.7959655,0.962,3.37,3.19,21.9,0.02165,18,APO*,(2004 FY31)
(2004 GB2),2.11763031,0.651222127,12.4451384,254.9540023,209.4062415,0.7386,3.5,3.08,21,0.018838,9,APO*,(2004 GB2)
(2004 GE2),2.05089102,0.707664124,2.1646305,259.9196669,45.129773,0.5995,3.5,2.94,21.5,0.005729,14,APO*,(2004 GE2)
(2004 HD2),2.31647765,0.833765858,15.4357107,61.7677439,26.8981601,0.3851,4.25,3.53,21.1,0.033972,11,APO*,(2004 HD2)
(2004 HF12),2.13444156,0.650752992,13.3648777,105.0467422,22.5939601,0.7454,3.52,3.12,20.5,0.020423,15,APO*,(2004 HF12)
(2004 HG12),1.44087286,0.344372951,26.5113175,48.5042999,208.2225626,0.9447,1.94,1.73,22.4,0.026678,8,APO,(2004 HG12)
(2004 HC39),1.81323211,0.500469507,14.6599143,224.2155347,56.0842614,0.9058,2.72,2.44,21.5,0.007409,22,APO*,(2004 HC39)
(2004 JQ1),1.19379627,0.450112189,32.8274748,272.6309965,77.0835734,0.6565,1.73,1.3,20,0.032527,28,APO*,(2004 JQ1)
(2004 KB),1.18609013,0.287856266,20.6700375,243.3005937,230.9557459,0.8447,1.53,1.29,21.1,0.021782,12,APO*,(2004 KB)
(2004 KE17),2.84998627,0.628641912,27.0911827,175.3085063,68.9026247,1.0584,4.64,4.81,21.5,0.045922,11,AMO*,(2004 KE17)
(2004 LB),1.05069482,0.053197286,37.2878878,145.0438669,254.0324013,0.9948,1.11,1.08,21.8,0.019213,15,APO*,(2004 LB)
(2004 LY5),1.895503,0.787801988,16.2188376,294.6836738,87.6147672,0.4022,3.39,2.61,21.5,0.013851,8,APO*,(2004 LY5)
(2004 MD),1.91599856,0.537929735,9.7657433,124.1289672,85.5211143,0.8853,2.95,2.65,20.1,0.013886,23,APO*,(2004 MD)
(2004 MX2),2.76787016,0.717951585,18.0939388,243.2992505,116.5468974,0.7807,4.76,4.6,19.3,0.000785,24,APO*,(2004 MX2)
(2004 MD6),0.95083829,0.562871219,29.325397,231.4332758,263.8765556,0.4156,1.49,0.93,20.4,0.008616,26,ATE*,(2004 MD6)
(2004 MP7),2.72704557,0.720457131,17.667094,112.1833112,95.2075132,0.7623,4.69,4.5,21.7,0.007542,17,APO*,(2004 MP7)
(2004 PJ2),1.41801347,0.342066543,2.5828212,281.72583,317.1355414,0.933,1.9,1.69,21.4,0.023281,24,APO*,(2004 PJ2)
(2004 PS42),1.24188044,0.167281821,23.1925244,323.4014855,304.3322879,1.0341,1.45,1.38,21.3,0.048112,23,AMO*,(2004 PS42)
(2004 QB),2.10946088,0.654289733,11.0159159,111.4570995,131.4527234,0.7293,3.49,3.06,19.8,0.014286,14,APO*,(2004 QB)
(2004 QX2),1.28731266,0.902913057,19.0950485,218.5958638,320.3842475,0.125,2.45,1.46,21.7,0.036945,9,APO*,(2004 QX2)
(2004 RQ10),1.86493267,0.441277745,5.6827391,349.5435798,335.2535302,1.042,2.69,2.55,20.9,0.034181,39,AMO*,(2004 RQ10)
(2004 RW10),2.35179282,0.592920663,3.1095816,71.7699228,206.1512394,0.9574,3.75,3.61,20.9,0.034958,18,APO*,(2004 RW10)
(2004 RY10),1.6735354,0.621510077,15.4877925,283.3002948,165.8616813,0.6334,2.71,2.17,21.4,0.042914,16,APO*,(2004 RY10)
(2004 RF84),2.1653873,0.602663793,23.258386,122.4873309,344.7073619,0.8604,3.47,3.19,18.4,0.0364,48,APO*,(2004 RF84)
(2004 RY109),1.62746516,0.424847577,26.1324133,306.8316003,352.3895897,0.936,2.32,2.08,19,0.049054,37,APO*,(2004 RY109)
(2004 RZ164),2.55330656,0.613430539,13.8696784,345.3738171,74.9422597,0.987,4.12,4.08,19,0.013593,61,APO*,(2004 RZ164)
(2004 SS),2.19451775,0.528165187,6.5209082,353.2292904,1.4321323,1.0354,3.35,3.25,22,0.033647,15,AMO*,(2004 SS)
(2004 SW55),1.42702863,0.33365549,8.7876899,352.738508,75.1681655,0.9509,1.9,1.7,20.7,0.03043,23,APO*,(2004 SW55)
(2004 TN1),2.74566793,0.697832674,8.4423607,233.5344956,213.9703779,0.8297,4.66,4.55,21.8,0.001006,17,APO*,(2004 TN1)
(2004 TP1),1.29023308,0.388997512,7.4845146,87.7274706,30.1095093,0.7883,1.79,1.47,20.7,0.028183,24,APO*,(2004 TP1)
(2004 TB10),1.10355214,0.093887541,22.5018313,149.8887878,12.856258,0.9999,1.21,1.16,21.3,0.011848,14,APO*,(2004 TB10)
(2004 TG10),2.23414333,0.861945093,4.1798235,317.3637948,205.108073,0.3084,4.16,3.34,19.4,0.022508,24,APO*,(2004 TG10)
(2004 TL10),2.65269047,0.65725687,9.5055532,325.4845426,10.0124932,0.9092,4.4,4.32,21.4,0.011618,15,APO*,(2004 TL10)
(2004 UE),2.61790033,0.649521166,15.0695177,215.5901797,227.1091619,0.9175,4.32,4.24,21,0.000562,29,APO*,(2004 UE)
(2004 UR1),2.1756485,0.615889567,4.0775481,73.3500331,251.0105389,0.8357,3.52,3.21,20.5,0.01928,20,APO*,(2004 UR1)
(2004 UU1),1.22619159,0.273562242,29.9623435,113.5970162,217.7865475,0.8908,1.56,1.36,21.1,0.027572,12,APO*,(2004 UU1)
(2004 UV1),2.81518282,0.652621803,20.8251944,20.4539185,76.4383714,0.9779,4.65,4.72,17.9,0.017323,43,APO*,(2004 UV1)
(2004 VB),1.45858511,0.408931949,10.8604126,71.5028944,52.4244105,0.8621,2.06,1.76,20.8,0.043574,53,APO*,(2004 VB)
(2004 VC17),1.89532179,0.810702513,20.4089664,65.0822187,229.26745,0.3588,3.43,2.61,18.4,0.000721,33,APO*,(2004 VC17)
(2004 WK1),1.08443467,0.730010954,34.4745504,223.1246228,51.814172,0.2928,1.88,1.13,21,0.042893,11,APO*,(2004 WK1)
(2004 XO),1.03445643,0.09665798,25.9770157,71.1794984,249.9972092,0.9345,1.13,1.05,21.6,0.019417,16,APO*,(2004 XO)
(2004 XL14),0.75961421,0.41034973,21.4623933,157.5638537,85.6276992,0.4479,1.07,0.66,21.2,0.027682,52,ATE*,(2004 XL14)
(2004 XP14),1.05159631,0.158507124,32.9502226,273.7148738,281.0415367,0.8849,1.22,1.08,19.4,0.001322,70,APO*,(2004 XP14)
(2004 XN29),2.42444144,0.705403636,2.3751802,37.0892058,319.9269437,0.7142,4.13,3.78,22,0.025036,10,APO*,(2004 XN29)
(2004 XK50),1.45107822,0.688909553,38.2136304,103.9619595,94.155588,0.4514,2.45,1.75,19.3,0.042535,21,APO*,(2004 XK50)
(2005 AV27),2.25414925,0.652547676,5.8611138,138.8315841,67.9604917,0.7832,3.73,3.38,20.5,0.041191,12,APO*,(2005 AV27)
(2005 BG14),1.99386264,0.727951676,21.6448925,280.6594737,95.2761791,0.5424,3.45,2.82,18.6,0.027063,29,APO*,(2005 BG14)
(2005 CJ),1.74996822,0.525801672,1.0832464,81.6734484,358.0741467,0.8298,2.67,2.32,20.2,0.007244,46,APO*,(2005 CJ)
(2005 CL),1.98771585,0.753905692,4.4401906,298.3384036,318.5958139,0.4892,3.49,2.8,20.3,0.023796,24,APO*,(2005 CL)
(2005 DD),1.9334619,0.568632518,7.3268376,252.1521787,157.2820329,0.834,3.03,2.69,20.3,0.029933,23,APO*,(2005 DD)
(2005 EA),1.30127131,0.639241754,14.0565643,298.8373475,346.923413,0.4694,2.13,1.48,21,0.032711,23,APO*,(2005 EA)
(2005 EO33),1.97204823,0.573716454,4.6148016,158.5297604,289.7025004,0.8407,3.1,2.77,21.3,0.04121,9,APO*,(2005 EO33)
(2005 EW169),2.38171501,0.568867478,1.5058823,221.8853401,223.5756572,1.0268,3.74,3.68,19.7,0.046546,35,AMO*,(2005 EW169)
(2005 FH),2.69560284,0.656810917,34.8671268,317.9265083,144.1160619,0.9251,4.47,4.43,17.7,0.038494,22,APO*,(2005 FH)
(2005 FE3),2.11629894,0.531813222,13.1121397,145.1442012,90.5717103,0.9908,3.24,3.08,19.3,0.030761,21,APO*,(2005 FE3)
(2005 FN4),2.66324249,0.763891409,29.3160318,105.6183848,190.6024363,0.6288,4.7,4.35,18.6,0.049124,23,APO*,(2005 FN4)
(2005 GL),1.05611028,0.306190152,15.8979902,265.3172499,43.6576275,0.7327,1.38,1.09,21.2,0.005656,12,APO*,(2005 GL)
(2005 GU),1.55174391,0.614572292,25.0487555,275.7665105,26.9235312,0.5981,2.51,1.93,20,0.013573,25,APO*,(2005 GU)
(2005 GJ8),1.76683245,0.551000916,3.3982466,214.5964755,252.7238851,0.7933,2.74,2.35,20.3,0.028436,18,APO*,(2005 GJ8)
(2005 GY8),2.04729454,0.672920396,2.8293745,103.3931071,179.7329731,0.6696,3.42,2.93,21.9,0.002807,14,APO*,(2005 GY8)
(2005 GD60),1.32983399,0.374088688,9.8952366,100.0505655,199.0950256,0.8324,1.83,1.53,21.7,0.033092,21,APO*,(2005 GD60)
(2005 GH81),1.94701308,0.544806837,11.7188122,118.4719185,19.6951912,0.8863,3.01,2.72,21.6,0.042756,11,APO*,(2005 GH81)
(2005 JU1),2.33692963,0.685654292,6.0682747,269.4638766,33.0803041,0.7346,3.94,3.57,21.6,0.033763,24,APO*,(2005 JU1)
(2005 JU81),1.1165432,0.277448883,17.2881142,72.4847611,56.3517252,0.8068,1.43,1.18,21.7,0.02871,14,APO*,(2005 JU81)
(2005 KJ10),1.90936039,0.585320156,8.2578381,233.7171851,81.407672,0.7918,3.03,2.64,21.3,0.029347,7,APO*,(2005 KJ10)
(2005 LW3),1.43194033,0.46245781,6.0630948,288.1462085,59.6951122,0.7697,2.09,1.71,21.7,0.000785,12,APO*,(2005 LW3)
(2005 LX36),1.02988303,0.575283592,32.977709,239.1124314,252.7743808,0.4374,1.62,1.05,20.8,0.022606,15,APO*,(2005 LX36)
(2005 LW39),1.98753656,0.716043616,28.4626015,275.1271827,251.5968359,0.5644,3.41,2.8,20,0.026322,22,APO*,(2005 LW39)
(2005 MO13),0.86355639,0.410711973,6.3161655,250.1349055,176.6474777,0.5089,1.22,0.8,20.7,0.042859,31,ATE*,(2005 MO13)
(2005 NE7),2.04534473,0.647926498,9.527193,306.9401563,80.3415865,0.7201,3.37,2.93,19,0.048354,19,APO*,(2005 NE7)
(2005 OX),1.33085792,0.61751927,7.621464,100.2800604,323.7648142,0.509,2.15,1.54,20.4,0.016932,9,APO*,(2005 OX)
(2005 OD3),2.37138723,0.603786271,16.2110909,38.262232,323.8197222,0.9396,3.8,3.65,21.2,0.008055,12,APO*,(2005 OD3)
(2005 OE3),1.56666515,0.428592414,25.3731512,58.3752991,321.0759053,0.8952,2.24,1.96,20.3,0.0266,51,APO*,(2005 OE3)
(2005 PJ2),1.19797006,0.65936912,17.4154075,128.7994579,326.5210428,0.4081,1.99,1.31,19.5,0.044228,29,APO*,(2005 PJ2)
(2005 PA5),1.32161689,0.226768306,15.3280322,149.0193654,133.0748459,1.0219,1.62,1.52,21.7,0.033556,16,AMO*,(2005 PA5)
(2005 QZ151),1.93748538,0.579869717,4.8553431,63.0239228,20.8858379,0.814,3.06,2.7,20.3,0.004637,32,APO*,(2005 QZ151)
(2005 RC34),2.06138976,0.512815659,10.7656525,36.1466234,290.9677646,1.0043,3.12,2.96,19.7,0.040876,55,APO*,(2005 RC34)
(2005 SQ),1.65497622,0.574354635,1.2001966,294.7878655,317.3184454,0.7044,2.61,2.13,20.1,0.005428,19,APO*,(2005 SQ)
(2005 TP),2.27940029,0.587664596,7.8730568,353.7417541,86.4196358,0.9399,3.62,3.44,20.8,0.037043,19,APO*,(2005 TP)
(2005 TS15),1.26046938,0.352954264,33.9982091,106.0810764,16.2307894,0.8156,1.71,1.42,21.1,0.003906,20,APO*,(2005 TS15)
(2005 TF49),1.0418452,0.025424671,24.5511876,302.478621,25.7396589,1.0154,1.07,1.06,19.1,0.031941,60,APO*,(2005 TF49)
(2005 TR50),1.61436069,0.455809839,34.0624588,49.2226102,29.4781057,0.8785,2.35,2.05,20.2,0.007747,18,APO*,(2005 TR50)
(2005 TU50),1.42620217,0.596332945,12.4219058,259.5456857,22.3048264,0.5757,2.28,1.7,21.4,0.010441,30,APO*,(2005 TU50)
(2005 UR),2.2544295,0.882113441,6.9428239,140.4744388,20.0374751,0.2658,4.24,3.39,21.6,0.033505,11,APO*,(2005 UR)
(2005 UW6),2.04314711,0.740939627,0.913159,180.9190447,334.354172,0.5293,3.56,2.92,21.8,0.015698,14,APO*,(2005 UW6)
(2005 UT64),1.8214679,0.521800153,10.5040591,327.3547166,161.632692,0.871,2.77,2.46,20.1,0.046301,17,APO*,(2005 UT64)
(2005 UJ159),3.3438613,0.831839503,35.4756838,95.520948,80.6843969,0.5623,6.13,6.11,17.6,0.037387,33,APO*,(2005 UJ159)
(2005 VO5),2.00893091,0.561274145,14.2438557,242.0168417,101.0065452,0.8814,3.14,2.85,19.8,0.039611,21,APO*,(2005 VO5)
(2005 VR7),1.08290774,0.287228438,25.248429,101.067209,254.884031,0.7719,1.39,1.13,21.3,0.030075,17,APO*,(2005 VR7)
